"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","WISCONSIN","US-WI","NA","NA","2007-02-18","2007-02-24","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","0"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2006-02-12","2006-02-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2006-03-05","2006-03-11","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2006-03-12","2006-03-18","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2006-04-16","2006-04-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2006-10-22","2006-10-28","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","2"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-01-21","2007-01-27","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-02-25","2007-03-03","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-05-20","2007-05-26","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-05-27","2007-06-02","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-07-15","2007-07-21","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-08-19","2007-08-25","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-09-02","2007-09-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-09-16","2007-09-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-10-14","2007-10-20","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-11-04","2007-11-10","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-11-11","2007-11-17","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-12-16","2007-12-22","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2007-12-30","2008-01-05","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2008-02-24","2008-03-01","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2008-03-02","2008-03-08","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
"Coccidioidomycosis","60826002","Coccidioides","5500","0","UNITED STATES OF AMERICA","US","OHIO","US-OH","NA","NA","2008-04-13","2008-04-19","0","0-130","None specified","NA","NA","US Nationally Notifiable Disease Surveillance System","1"
